user,Challenge,Closeness,Curiosity,Excitement,Harmony,Ideal,Liberty,Love,Practicality,Self-expression,Stability,Structure,Openness,Openness.Adventurousness,Openness.Artistic interests,Openness.Emotionality,Openness.Imagination,Openness.Intellect,Openness.Authority-challenging,Conscientiousness,Conscientiousness.Achievement striving,Conscientiousness.Cautiousness,Conscientiousness.Dutifulness,Conscientiousness.Orderliness,Conscientiousness.Self-discipline,Conscientiousness.Self-efficacy,Extraversion,Extraversion.Activity level,Extraversion.Assertiveness,Extraversion.Cheerfulness,Extraversion.Excitement-seeking,Extraversion.Outgoing,Extraversion.Gregariousness,Agreeableness,Agreeableness.Altruism,Agreeableness.Cooperation,Agreeableness.Modesty,Agreeableness.Uncompromising,Agreeableness.Sympathy,Agreeableness.Trust,Emotional range,Emotional range.Fiery,Emotional range.Prone to worry,Emotional range.Melancholy,Emotional range.Immoderation,Emotional range.Self-consciousness,Emotional range.Susceptible to stress,Conservation,Openness to change,Hedonism,Self-enhancement,Self-transcendence,Tweets,Following,Followers
thekevinyi,0.4010623862624694,0.29670391988004907,0.8286336839778903,0.411488828864329,0.21438676279779056,0.6706236621385333,0.5027286934523969,0.3646133341892026,0.2733736642043768,0.5254589517230541,0.41964916754683235,0.49381189297594597,0.8042463212484963,0.5305218947672112,0.8605028513886241,0.6934649156748578,0.7963337409180866,0.9387143225967094,0.9815731131016108,0.11631699949741481,0.24651557129269952,0.26568373358447106,0.2739907456349676,0.08357087119838397,0.09937593617777324,0.2322817603086183,0.27756948025241757,0.40186926965752057,0.3618934021928578,0.20073920230676978,0.5624516759134816,0.09841015816738968,0.1242602298583137,0.15005524866697606,0.4073519176352829,0.2756489397459697,0.425164676617802,0.45627670864005615,0.7066263962598041,0.22672516601275733,0.21943121194573328,0.7577747608725252,0.8066415110731826,0.9311423512482799,0.9388375019073874,0.8769634812328642,0.8750499488224063,0.04127918437370032,0.7924893161253961,0.5210075457588864,0.6342176982495793,0.7976014670038012,740,52,63
CandaceHerrell,0.9531049854514664,0.45019021619556987,0.7261822318592572,0.4152414529003241,0.5172348398345239,0.7305495511565332,0.6909613288521196,0.7446276822873682,0.38064540798143554,0.20742964149529652,0.7727310503404075,0.8021961321229134,0.551823165450081,0.8555520798507418,0.46984801798598924,0.6648378980403132,0.18165627451421162,0.7417893220879945,0.8782251941316859,0.8467366125749987,0.9738971542301829,0.745912488918919,0.9079022794179219,0.13664084343431337,0.8146940950224855,0.8090637603766389,0.8566114439398014,0.9897094137959785,0.8171018307990547,0.6601090321508516,0.2777845803227409,0.8939919381803789,0.7670535796946725,0.7350960441132934,0.8502771330407641,0.9241250794593079,0.2027141523643381,0.815788668850348,0.6408752033674974,0.981278467302495,0.7140467643430909,0.29773317797485865,0.4287669497784058,0.19577325433150772,0.6671848593164288,0.33435534035176595,0.4646036785488989,0.5364227607458142,0.6633211381537365,0.34033552810172896,0.8971838428722789,0.6251215896769442,904,911,504
jenannstone,0.7895430550668907,0.22668354270161412,0.5274457140484621,0.5081517400157762,0.29801911967894695,0.5250006963903258,0.6950567425011579,0.5330265019230785,0.6667877205601146,0.48031205994031856,0.43340253792497785,0.5322273174451477,0.4812689892178987,0.9391718398900106,0.3351685520768977,0.3257372966838522,0.11654281371747388,0.7021923818574757,0.5987465671556252,0.8052732473859505,0.9284718545663496,0.7121812220399116,0.8487750507939402,0.38557828110188946,0.8825530483426974,0.8214280413082693,0.951574707908388,0.9909956679555671,0.9606509195019077,0.6863249896880225,0.290251054863888,0.8662907821000789,0.848588782699639,0.3686783345100155,0.8324622007063336,0.8061024832848068,0.1275059901427611,0.772696577548522,0.2236448388571204,0.9194734276334477,0.8716186662093601,0.06873512654491659,0.07055903382415546,0.040031166359596415,0.2417056599803976,0.05577515600614308,0.11107991377244009,0.23989163810339137,0.5936381301394061,0.20422566721522933,0.717878582996535,0.40569006637933364,615,547,355
kierstingeary,0.5338663793520249,0.07033512790303587,0.6396339304626745,0.3454336660076948,0.13904144575642519,0.3985154241006937,0.41660966303764224,0.3207639524980632,0.40889882165326163,0.467520564947354,0.240236288291793,0.536632020468362,0.7097253996985513,0.5230951496311835,0.7029337623548102,0.5455369622498063,0.8174575768714842,0.8825053241281142,0.951035400080045,0.3714978337406819,0.6263317743173155,0.383804850424646,0.38902532776895704,0.1928129758535575,0.2550422109087751,0.649919106843909,0.5267549429314283,0.7589453505997457,0.6753606477141593,0.17608392175643683,0.5978548888432037,0.24342860941206523,0.2522905809337255,0.1323506398776571,0.4937021964734967,0.29562657112115903,0.20055822390620148,0.4004617518914547,0.4636958473717828,0.6053315695042908,0.5607820635323231,0.7061767580943579,0.6844924588683313,0.6807812464100376,0.5637065950589981,0.7748077761828964,0.690570951387397,0.13591571815380382,0.6364086017760662,0.2630448494509229,0.800038898683068,0.5969699606512909,103,145,57
broaspects,0.6596245428222955,0.006905567984516081,0.7506100708801002,0.1757747445439387,0.013843409183578681,0.4510628008635503,0.252282591173082,0.07469909026885307,0.36457383638365437,0.04954028293760393,0.007973717495458443,0.47777697017155935,0.92882266281777,0.7553124528449081,0.847979896291016,0.23530392216601143,0.9320855432397105,0.9480019092785945,0.9942506137369984,0.689343529327162,0.4703139597944368,0.3587262629159136,0.21631727772447207,0.5704411734478984,0.15603037819971477,0.5145253685916393,0.5480498726091604,0.5636838842997963,0.47059344395766256,0.07232386547740383,0.5678481146202006,0.3261513761748386,0.3396320094890132,0.019791845405077557,0.17357089108859391,0.5896201261423113,0.07026391982450558,0.13091467111256744,0.22684682101936265,0.8966839085359106,0.6672689061837462,0.5310262998572766,0.5334259326145009,0.5375349558754173,0.5251284260660702,0.8180211891909193,0.579108773016042,0.025307289159666402,0.41016722370115843,0.13775039100065584,0.8416077038866828,0.12494903842223465,33,54,34
DavidCollins_NC,0.7780891747112634,0.15361187170565493,0.6036527099031758,0.35231776143557336,0.25856682397120595,0.4822128096434635,0.372921348635163,0.22349164258777449,0.5639959291296769,0.09968114431789299,0.47938150145783326,0.7318702870780037,0.7216866292738996,0.6806970558116443,0.2997164813947636,0.12212119904802593,0.3486287819854309,0.9209407341152128,0.43275000265722924,0.8879740659722714,0.8969302420274965,0.6923868098928518,0.5418128583991387,0.4391289041384368,0.8382838966245165,0.9903068836869469,0.7327509169982244,0.9248681924286795,0.9878298046373826,0.4485663191064929,0.5335771057665941,0.8078641704532122,0.48709114050510266,0.37904194331383095,0.6119638549914436,0.26090597324816034,0.04198093175061657,0.4120990237485052,0.8387011018675361,0.682720384095798,0.8839752900748248,0.34108525657488487,0.2063407248407766,0.16286433425672103,0.04707690826812544,0.10242075766757552,0.13468868179741933,0.21674262582558074,0.47866543892683,0.18776259374951204,0.3913848556590384,0.1605462423497056,736,674,344
SharonDMcCloud,0.8925283628584519,0.45025255807691555,0.7176697241632568,0.4115081066769454,0.628660739411524,0.5996430668033006,0.6442809033870023,0.6635427508897562,0.4571624983973872,0.47865756829277284,0.8173521114408742,0.6808851887861711,0.5856800508105504,0.970600604305428,0.6765988345235231,0.647941524760375,0.4348672290422969,0.7699447594931971,0.7758993712140718,0.7370514052882184,0.9896716369240586,0.7007798614380908,0.6554669675400617,0.5632123010769412,0.8732373823172255,0.9764581158138737,0.9531669823522444,0.9958512953688976,0.9764433353950737,0.8014321854905686,0.561868069808122,0.9501838765537771,0.8344899365271043,0.713780607578699,0.9350504571358952,0.7584894944629187,0.13485165510204533,0.7426762925397137,0.8136571763077387,0.9753041075059262,0.6722119066605878,0.19816737679399982,0.20451008804291687,0.07891946572964581,0.11424370603627582,0.0689016977084756,0.13817867676478424,0.5361272299094069,0.6876586966367477,0.25411206723231916,0.8320484247878992,0.5018556211909144,1520,1416,806
ElizabethRuf,0.7328598584280485,0.5634266979183788,0.7499581445801244,0.3324538645871543,0.6208355336407649,0.5815736884795901,0.5282319696641966,0.7846640362108248,0.313115143133607,0.39771630881360953,0.5074321938036543,0.4648445086701588,0.7181410346509562,0.6715596563698694,0.8039294282748439,0.8513851531017305,0.5886957647014739,0.82929011772131,0.8064097320815262,0.6278769175973664,0.8318622299291512,0.6226595576053263,0.7675738012329671,0.3809100071901835,0.6831059324215026,0.798927857101073,0.8410817528978363,0.8783591283351931,0.7531104552707242,0.681726990485022,0.5268486616820774,0.888571721660284,0.7966318438754316,0.6910568746828863,0.8946940821586267,0.7411212187610491,0.4120349550217661,0.7401416684009927,0.8700309402531141,0.8504592131071524,0.5084599559895303,0.40733234115503536,0.5693005839188047,0.30258065420215774,0.5366419729433495,0.31804958717304943,0.46073437130273254,0.4478985064015417,0.7241231638210697,0.4238114572105902,0.6784555637136478,0.6405577495791972,3906,433,543
DonThompson_Jr,0.7752738126256337,0.33789601188239676,0.9260258619800861,0.34197205229007677,0.5706511256665653,0.4094022578036028,0.7087438656937839,0.36018333800861974,0.5584605998713343,0.4534689200008197,0.5850007265733722,0.7756252258244591,0.8276694037682252,0.9814741548992731,0.7165783938979081,0.5461238367758994,0.3604616959863124,0.969425144429752,0.7966615654860489,0.8716282894127739,0.9507159528931086,0.7707612055074746,0.7884392960690951,0.5160641162366462,0.8910062209479357,0.9510969503273243,0.7689495179031366,0.9964388526620302,0.9904422690107801,0.7574344583164431,0.5369706387263924,0.9456392398528455,0.7551495815523931,0.3208878208449516,0.9308478812521762,0.7602364167146429,0.18143364296994624,0.9004659835497086,0.7528926548808417,0.9135590076831068,0.8593299586668887,0.01990804249051259,0.031948657818597126,0.0413642134739618,0.0715948486370786,0.12359990439237944,0.04405655617166371,0.4786381359699049,0.7618333285266908,0.09565982508252002,0.3441683084475975,0.583633980098187,1031,124,783
laurelstreng,0.35342338803010787,0.04373705942754591,0.7569267253583833,0.10230061630730625,0.14933805441498266,0.28272312617685336,0.5765422581989662,0.05055866500411543,0.6574712152388843,0.3903630112814449,0.17812951949241596,0.6220360302891386,0.9498746666658039,0.9728690253164565,0.7673122680376235,0.2110426472253406,0.4101106611276045,0.857434682387634,0.6504380671275748,0.7947314180621501,0.793599044660144,0.6656746337442949,0.5551392217647614,0.6665867890813421,0.6663829988129562,0.4742586812493714,0.8970711312234627,0.9448823062702627,0.4309773838810823,0.27825053676328726,0.11565338169424705,0.5227951044540312,0.4030862602276577,0.2384378363614038,0.33375030338418393,0.9313279542659854,0.245198531345309,0.8918968898770241,0.3332371913613916,0.8415453840081222,0.8874262553792884,0.14057382706705684,0.10386934705739548,0.33761320404448203,0.42206508459545716,0.3231813843737944,0.24329569182247873,0.06202724157034578,0.4912633781346073,0.07591765621991936,0.13436868931901053,0.3948681740157648,401,264,136
